,date,toll,pvpc_eur_MWh,prod_cost_eur_MWh
1816,2015-11-27,2.0.DHS,101.84674224875,63.06582666666667
1817,2015-11-27,2.0A,123.06192810458333,65.76474333333334
1818,2015-11-28,2.0.DHA,92.31008532166665,56.116493333333324
1819,2015-11-28,2.0.DHS,92.94741397791667,56.184576666666665
1820,2015-11-28,2.0A,113.5179990233333,58.88349333333334
1821,2015-11-29,2.0.DHA,95.78094988375001,60.09149333333334
1822,2015-11-29,2.0.DHS,96.25399987291667,60.15957666666666
1823,2015-11-29,2.0A,116.76062116666664,62.85849333333332
1824,2015-11-30,2.0.DHA,106.95673436250001,69.30857666666667
1825,2015-11-30,2.0.DHS,107.42897028416667,69.37666
1826,2015-11-30,2.0A,128.616572305,72.07557666666666
1827,2015-12-01,2.0.DHA,113.70725441458332,73.39607666666667
1828,2015-12-01,2.0.DHS,114.44688343249999,73.46416
1829,2015-12-01,2.0A,135.76482244208333,76.16307666666665
1830,2015-12-02,2.0.DHA,113.40946840458332,73.88316
1831,2015-12-02,2.0.DHS,114.14945200708333,73.95124333333334
1832,2015-12-02,2.0A,135.3660073541667,76.65015999999997
1833,2015-12-03,2.0.DHA,108.19741329958333,69.38524333333334
1834,2015-12-03,2.0.DHS,108.87037245875001,69.45332666666667
1835,2015-12-03,2.0A,130.14722927666665,72.15224333333333
1836,2015-12-04,2.0.DHA,110.58621622291672,71.50024333333333
1837,2015-12-04,2.0.DHS,111.24580638750001,71.56832666666666
1838,2015-12-04,2.0A,132.60779643499995,74.26724333333333
1839,2015-12-05,2.0.DHA,108.60348988625002,68.88816
1840,2015-12-05,2.0.DHS,109.47097623333333,68.95624333333333
1841,2015-12-05,2.0A,130.20371556749998,71.65516000000001
1842,2015-12-06,2.0.DHA,94.42089039666668,59.92357666666667
1843,2015-12-06,2.0.DHS,95.00521274333335,59.99165999999999
1844,2015-12-06,2.0A,115.09708801625,62.690576666666665
1845,2015-12-07,2.0.DHA,93.75040910000001,56.635243333333335
1846,2015-12-07,2.0.DHS,94.29934219208336,56.70332666666666
1847,2015-12-07,2.0A,115.23283570124998,59.40224333333334
1848,2015-12-08,2.0.DHA,99.60366027958332,63.38982666666667
1849,2015-12-08,2.0.DHS,100.24663904625,63.457910000000005
1850,2015-12-08,2.0A,120.6068393725,66.15682666666667
1851,2015-12-09,2.0.DHA,106.93403840458332,68.31524333333333
